host_latin,host_english,host_family
Atelerix albiventris,Four-toed Hedgehog,Erinaceidae
Atelerix algirus,North African Hedgehog,Erinaceidae
Atelerix frontalis,Southern African Hedgehog,Erinaceidae
Atelerix sclateri,Somali Hedgehog,Erinaceidae
Erinaceus amurensis,Amur Hedgehog,Erinaceidae
Erinaceus concolor,Southern White-breasted Hedgehog,Erinaceidae
Erinaceus europaeus,West European Hedgehog,Erinaceidae
Erinaceus roumanicus,Northern White-breasted Hedgehog,Erinaceidae
Hemiechinus auritus,Common Long-eared Hedgehog,Erinaceidae
Hemiechinus collaris,Indian Long-eared Hedgehog,Erinaceidae
Mesechinus dauuricus,Daurian Hedgehog,Erinaceidae
Mesechinus hughi,Hugh's Hedgehog,Erinaceidae
Mesechinus miodon,Small-toothed Forest Hedgehog,Erinaceidae
Mesechinus wangi,Wang's Forest Hedgehog,Erinaceidae
Paraechinus aethiopicus,Desert Hedgehog,Erinaceidae
Paraechinus hypomelas,Brandt's Hedgehog,Erinaceidae
Paraechinus micropus,Indian Hedgehog,Erinaceidae
Paraechinus nudiventris,Bare-bellied Hedgehog,Erinaceidae
Echinosorex gymnura,Moonrat,Erinaceidae
Otohylomys megalotis,Long-eared Gymnure,Erinaceidae
Hylomys parvus,Dwarf Gymnure,Erinaceidae
Hylomys suillus,Javan Short-tailed Gymnure,Erinaceidae
Neohylomys hainanensis,Hainan Gymnure,Erinaceidae
Neotetracus sinensis,Shrew Gymnure,Erinaceidae
Podogymnura aureospinula,Dinagat Gymnure,Erinaceidae
Podogymnura truei,Mount Apo Gymnure,Erinaceidae
Nesophontes edithae,Puerto Rican Nesophontes,Nesophontidae
Nesophontes hemicingulus,Cayman Nesophontes,Nesophontidae
Nesophontes hypomicrus,Atalaye Nesophontes,Nesophontidae
Nesophontes major,Greater Cuban Nesophontes,Nesophontidae
Nesophontes micrus,Lesser Cuban Nesophontes,Nesophontidae
Nesophontes paramicrus,Saint Michel Nesophontes,Nesophontidae
Nesophontes zamicrus,Haitian Nesophontes,Nesophontidae
Atopogale cubana,Cuban Solenodon,Solenodontidae
Atopogale arredondoi,Giant Solenodon,Solenodontidae
Solenodon marcanoi,Marcano's Solenodon,Solenodontidae
Solenodon paradoxus,Hispaniolan Solenodon,Solenodontidae
Crocidura abscondita,Javan Long-tailed White-toothed Shrew,Soricidae
Crocidura afeworkbekelei,Bekele's White-toothed Shrew,Soricidae
Crocidura aleksandrisi,Cyrenaica White-toothed Shrew,Soricidae
Crocidura allex,East African Highland White-toothed Shrew,Soricidae
Crocidura andamanensis,Andaman White-toothed Shrew,Soricidae
Crocidura anhuiensis,Anhui White-toothed Shrew,Soricidae
Crocidura annamitensis,Annamite White-toothed Shrew,Soricidae
Crocidura ansellorum,Ansells' White-toothed Shrew,Soricidae
Crocidura arabica,Arabian White-toothed Shrew,Soricidae
Crocidura arispa,Jackass White-toothed Shrew,Soricidae
Crocidura armenica,Armenian White-toothed Shrew,Soricidae
Crocidura attenuata,Asian Gray White-toothed Shrew,Soricidae
Crocidura attila,Hun White-toothed Shrew,Soricidae
Crocidura baileyi,Bailey's White-toothed Shrew,Soricidae
Crocidura baluensis,Kinabalu White-toothed Shrew,Soricidae
Crocidura batakorum,Batak White-toothed Shrew,Soricidae
Crocidura beata,Mindanao White-toothed Shrew,Soricidae
Crocidura beccarii,Beccari's White-toothed Shrew,Soricidae
