study_id,pmid,doi,first_author,publication_year,article_title
S0001,41929004,10.64898/2026.03.20.713216,Heidi K. Goethert,2026,Deer tick virus genotypes are perpetuated by different modes of transmission
S0002,42339070,10.1093/ve/veag032,Anise N. Happi,2026,Genomic epidemiology and evolutionary analysis of Lassa virus from small mammals suggest bidirectional viral movement across humans and animals
S0003,42198785,10.3390/v18050584,Yukun Lin,2026,Infectome Landscape of Rodents and Shrews in Guangdong Province Reveals Diverse Pathogens with Zoonotic Potential in Wildlife
S0004,42116238,10.3201/eid3205.250952,Effrosyni Michelakaki,2026,"Borna Disease Virus 1 as Cause of Fatal Meningoencephalomyelitis in Wild Hedgehogs, Germany, 2022–2025"
S0005,42111335,10.1016/j.onehlt.2026.101412,Gabriele Ratti,2026,Sequencing of Betacoronavirus erinacei from faeces of pet hedgehogs demonstrates a continuity of MERS-CoV like viruses in European and Eurasian hedgehog species
S0006,42064442,10.21315/tlsr2026.37.1.14,Zhen Yun Siew,2026,Surveillance of Zoonotic Pathogens and Taxonomic Identification of Non-volant Small Mammals in Peninsular Malaysia
S0007,42002046,10.1016/j.virusres.2026.199731,Tiernan Briggs,2026,A novel genetically distinct Amdoparvovirus in Sorex araneus in the United Kingdom highlights an unexplored ancestral link
S0008,41800425,10.3389/fmicb.2026.1738936,Haoyue Huangfu,2026,"Unveiling the RNA viral diversity in three organs of the Asian house shrew (Suncus murinus) from Tropical Hainan, China: a previously underappreciated key zoonotic reservoir"
S0009,42488425,10.3389/fcimb.2026.1814090,Ivan Chudinov,2026,Combined NGS and proteomics improves viral diagnostics in wildlife: coronaviruses confirmed in hedgehogs
S0010,41574625,10.1111/1348-0421.70043,Sakiho Imai,2026,"Detection of a Novel Parahenipavirus From Northern Short-Tailed Shrews (Blarina brevicauda [Say, 1823])"
S0011,41702980,10.1038/s41598-026-38406-w,Julia E. Paoli,2026,Detection of Wencheng shrew virus and cardiovirus from small mammals in Myanmar
S0012,41594414,10.3390/ani16020223,Gréta Varga,2026,Surveillance of Shrew-Borne Hantaviruses Expands Viral Host Range in Hungary
S0013,41546033,10.1186/s12985-026-03071-y,Sara Arnaboldi,2026,Absence of hepatitis E virus in hedgehogs in northern Italy in 2022–2024
S0014,41418935,10.1016/j.virs.2025.12.009,Shuangshuang Chen,2026,"Metatranscriptomics profiling reveals rodent- and shrew-borne viral diversity and evolutionary relationships in Guangzhou, China"
S0015,41416836,10.1128/jvi.01440-25,Rebecca K. French,2026,Viral surveillance of invasive mammals in New Zealand reveals unique viral lineages reflecting their introduction history
S0016,41348473,10.1099/mgen.0.001538,Carol Vannesa Nawenja,2025,Genomic characterization of novel orthohepeviruses in shrews and rats from Kenya
S0017,41305520,10.3390/v17111499,Liudmila N. Yashina,2025,"Biya River Virus, a Novel Hantavirus of the Eurasian Water Shrew (Neomys fodiens) in Russia"
S0018,41299624,10.1186/s40168-025-02195-7,Xiao-Ai Zhang,2025,Virome characterization of wild small mammals provides new insight into zoonotic pathogens in West Africa
S0019,41115661,10.1016/j.virs.2025.10.005,Chunzheng Li,2025,Seasonal dynamics of hedgehog-borne ticks and severe fever with thrombocytopenia syndrome virus in Beijing's urban parks
S0020,42049016,10.37432/jieph-confpro5-00006,David Simons,2025,Contact networks of small mammals highlight potential transmission foci of Lassa mammarenavirus
S0021,40380277,10.1186/s40168-025-02115-9,Ji-Hu Yang,2025,Host taxonomy and environment shapes insectivore viromes and viral spillover risks in Southwestern China
S0022,40552021,10.2478/jvetres-2025-0022,Hanna Turlewicz-Podbielska,2025,Serological and molecular screening for zoonotic pathogens among wild hedgehogs (Erinaceus europaeus) from urban areas of Poland
S0023,40573458,10.3390/v17060867,Gyuri Sim,2025,"Discovery of a Novel Parahenipavirus, Parahenipavirus_GH, in Shrews in South Korea, 2022"
S0024,40582414,10.1016/j.virs.2025.06.004,Yiwei Shi,2025,"Virome diversity in small mammals from south China: Insights into virus evolution, transmission, and ecology"
S0025,40584256,10.1093/ve/veaf038,Anishia Wasberg,2025,Hantavirus co-circulation in common shrews (Sorex araneus) in Sweden
S0026,40584258,10.1093/ve/veaf041,Marinda Mortlock,2025,Paramyxo- and coronavirus diversity and host associations in non-volant small mammals: evidence of viral sharing
S0027,40593191,10.1038/s41598-025-06845-6,Kyungmin Park,2025,Discovery and genomic characterization of Ulleung virus harbored by Crocidura utsuryoensis on Ulleung Island in Republic of Korea
S0028,40950050,10.1101/2025.09.03.674079,Min Jin,2025,Aminopeptidase N is a receptor for hedgehog merbecoviruses
S0029,40959801,10.1016/j.onehlt.2025.101049,A. Minichino,2025,Exposure to selected pathogens in wild mammals from a rescue and rehabilitation center in southern Italy
S0030,41041524,10.21203/rs.3.rs-7630852/v1,Anise Happi,2025,Metagenomics reveals cryptic circulation of zoonotic viruses in Nigeria
S0031,38258015,10.3390/microorganisms12010189,Vittorio Sarchese,2024,Molecular Surveillance for Bocaparvoviruses and Bufaviruses in the European Hedgehog (Erinaceus europaeus)
S0032,38389324,10.1016/j.virusres.2023.199255,Manel Essaidi-Laziosi,2024,Distinct phenotype of SARS-CoV-2 Omicron BA.1 in human primary cells but no increased host range in cell lines of putative mammalian reservoir species
S0033,38878993,10.1016/j.ijid.2024.107106,Nadine N’dilimabaka,2024,No evidence of mpox virus circulation in putative animal reservoirs in Gabon wildlife
S0034,38932262,10.3390/v16060969,Yi Tang,2024,"Identification and Genomic Characterization of Two Novel Hepatoviruses in Shrews from Yunnan Province, China"
S0035,39088249,10.1099/mgen.0.001275,Viola C. Haring,2024,"Detection of novel orthoparamyxoviruses, orthonairoviruses and an orthohepevirus in European white-toothed shrews"
S0036,39117662,10.1038/s41522-024-00543-3,Jing-Tao Zhang,2024,Decoding the RNA viromes in shrew lungs along the eastern coast of China
